room_no,new_room_no,tenant_name,area_sqft,floor,rent,gst_18,total_amount,validity,expired_date,valid_through,deposit,status,status_label,popup_title,notes,source,needs_review,data_issue
1,38/957,Force motors,450,Ground,"35,000","6,300","41,300",valid,,01/08/2026,"1,05,000",occupied,Occupied,Room 1 · 38/957,[],Uploaded rent/space details PDF,False,
1A,38/957-1,Classic sign world,824,Ground,"60,000","10,800","70,800",invalid,01/03/2025,,"3,60,000",occupied,Occupied,Room 1A · 38/957-1,['Agreement validity is marked invalid in the source sheet.'],Uploaded rent/space details PDF,False,
2,38/956,Grand auto traders,160,Ground,"8,000","1,440","9,440",valid,,01/05/2026,"48,000",occupied,Occupied,Room 2 · 38/956,[],Uploaded rent/space details PDF,False,
3,38/956-1,Vacant,"1,100",Ground,,,,,,,,vacant,Vacant,Room 3 · 38/956-1,[],Uploaded rent/space details PDF,False,
4,38/956-2,Vacant,700,Ground,,,,,,,,vacant,Vacant,Room 4 · 38/956-2,[],Uploaded rent/space details PDF,False,
5,38/953,Vacant,850,Ground,,,,,,,,vacant,Vacant,Room 5 · 38/953,[],Uploaded rent/space details PDF,False,
6,,,,Ground,,,,,,,,review,Needs Review,Room 6 · No room no.,['Only Room No. 6 is visible in the source sheet; no room details were provided.'],Uploaded rent/space details PDF,True,Only Room No. 6 is visible in the source sheet; no room details were provided.
7,38/923,Adithya 1,693,Ground,"18,423.73","3,316.27","21,740.00",invalid,31/03/2017,,"60,000",occupied,Occupied,Room 7 · 38/923,['Agreement validity is marked invalid in the source sheet.'],Uploaded rent/space details PDF,False,
8,38/924,Adithya 2,"1,200",Ground,"29,437.29","5,298.71","34,736.00",invalid,15/02/2023,,"3,00,000",occupied,Occupied,Room 8 · 38/924,['Agreement validity is marked invalid in the source sheet.'],Uploaded rent/space details PDF,False,
9,38/925,Adithya 3,617,Ground,"24,678.81","4,442.19","29,121.00",invalid,31/03/2017,,"1,40,676",occupied,Occupied,Room 9 · 38/925,['Agreement validity is marked invalid in the source sheet.'],Uploaded rent/space details PDF,False,
